year/month	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	Mean		year	AnnualMean
1989- 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.7	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	1.112903226		1989	3.591666667
1989- 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1	0	0	0	0	0	0.293548387		1990	5.570698925
1989- 3	0	0	0	29.2	0	0	0	5.3	0	0	0	0	37.6	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0	0	10.7	0	0	2.761290323		1991	4.83061828
1989- 4	0	0	0	41.9	0	0	0	0	0	0	0	0	0	0	0	0	14.7	0	2.3	0	0	0	2	0	0	3.1	0	0	0	0	0	2.064516129		1992	4.345206093
1989- 5	6.3	15.2	0	0	20.3	0	0	0	28.4	25.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.083870968		1993	3.940053763
1989- 6	0	22.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738709677		1994	4.620698925
1989- 7	0	0	0	0	17.8	0	12.7	0	14.5	9.4	9.1	72.9	3.3	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	0	0	4.612903226		1995	4.605913978
1989- 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.064516129		1996	5.087903226
1989- 9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.1	0	0	8.9	0	0	50.8	5.1	0	0	0	0	0	0	0	0	3.319354839		1997	6.263709677
1989-10	0	0	6.9	0	7.1	0	0	0	0	0	0	0	63.2	106.7	0	0	8.6	38.6	0	5.3	0	0	3	0	0	0	3.8	0	13.2	109	90.9	14.71935484		1998	4.713978495
